image,label,vietnamese_label,texts,symptoms,visual_analysis,leaf_area_ratio,background_ratio,lesion_area_ratio,annotation_confidence,metadata_quality,weather,humidity,temperature,severity,growth_stage,location,farmer_note
dataset/raw/BrownSpot/IMG_20190419_095712.jpg,BrownSpot,Đốm nâu,"Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn. | Ảnh cho thấy cận cảnh phần lá, nhấn mạnh tổn thương và cấu trúc mô lá.",phiến lá xuất hiện đốm tròn | mép lá chuyển nâu | đốm nâu nhỏ trên lá | lá khô từng vùng,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác.,0.108,0.892,0.0007,0.74,low,cloudy,67,22,mild,booting,Long An,Ruộng có dấu hiệu lây lan.
dataset/raw/BrownSpot/IMG_20190419_095715.jpg,BrownSpot,Đốm nâu,"Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Bề mặt lá xuất hiện các tổn thương màu nâu sẫm. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn. | Ảnh cho thấy cận cảnh phần lá, nhấn mạnh tổn thương và cấu trúc mô lá.",vết cháy màu nâu | mép lá chuyển nâu | lá khô từng vùng | phiến lá xuất hiện đốm tròn,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác.,0.1022,0.8978,0.0044,0.74,low,rainy,73,25,mild,ripening,Thai Binh,Ruộng có dấu hiệu lây lan.
dataset/raw/BrownSpot/IMG_20190419_095726.jpg,BrownSpot,Đốm nâu,"Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Lá có các đốm nâu hình oval với viền vàng nhạt. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn. | Ảnh cho thấy cận cảnh phần lá, nhấn mạnh tổn thương và cấu trúc mô lá.",đốm nâu nhỏ trên lá | mép lá chuyển nâu | phiến lá xuất hiện đốm tròn | vết cháy màu nâu,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.3354,0.6646,0.1397,0.93,high,rainy,70,33,severe,flowering,Can Tho,Cây sinh trưởng chậm hơn bình thường.
dataset/raw/BrownSpot/IMG_20190419_095736.jpg,BrownSpot,Đốm nâu,"Xuất hiện nhiều chấm nâu nhỏ lan rộng trên lá. | Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Bề mặt lá xuất hiện các tổn thương màu nâu sẫm. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn. | Ảnh cho thấy cận cảnh phần lá, nhấn mạnh tổn thương và cấu trúc mô lá.",phiến lá xuất hiện đốm tròn | lá khô từng vùng | mép lá chuyển nâu | đốm nâu nhỏ trên lá,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác.,0.103,0.897,0.0072,0.74,low,humid,76,34,mild,seedling,Dong Thap,Triệu chứng lan nhanh trên ruộng.
dataset/raw/BrownSpot/IMG_20190419_095739.jpg,BrownSpot,Đốm nâu,"Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn. | Ảnh cho thấy cận cảnh phần lá, nhấn mạnh tổn thương và cấu trúc mô lá.",lá khô từng vùng | mép lá chuyển nâu | phiến lá xuất hiện đốm tròn | vết cháy màu nâu,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.125,0.875,0.0261,0.93,high,cloudy,64,22,moderate,tillering,Soc Trang,Triệu chứng lan nhanh trên ruộng.
dataset/raw/BrownSpot/IMG_20190419_100805.jpg,BrownSpot,Đốm nâu,Bề mặt lá xuất hiện các tổn thương màu nâu sẫm. | Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Các đốm nâu nhỏ phân bố trên phiến lá và liên kết thành vùng bệnh.,vết cháy màu nâu | mép lá chuyển nâu | phiến lá xuất hiện đốm tròn | lá khô từng vùng,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Trên phiến lá xuất hiện nhiều đốm nâu nhỏ hoặc các vết bệnh rải rác. | Các vết nâu/tổn thương chiếm tỷ lệ lớn trên phần lá được quan sát. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.925,0.075,0.802,0.93,high,rainy,83,27,severe,tillering,Soc Trang,Triệu chứng lan nhanh trên ruộng.
dataset/raw/BrownSpot/IMG_20190419_102228.jpg,BrownSpot,Đốm nâu,Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Lá có các đốm nâu hình oval với viền vàng nhạt.,lá khô từng vùng | đốm nâu nhỏ trên lá | mép lá chuyển nâu | vết cháy màu nâu,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.8878,0.1122,0.6923,0.93,high,cloudy,95,25,severe,booting,Thai Binh,Ruộng có dấu hiệu lây lan.
dataset/raw/BrownSpot/IMG_20190419_103247.jpg,BrownSpot,Đốm nâu,Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Bề mặt lá xuất hiện các tổn thương màu nâu sẫm. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn.,phiến lá xuất hiện đốm tròn | mép lá chuyển nâu | lá khô từng vùng | vết cháy màu nâu,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.5901,0.4099,0.4695,0.93,high,rainy,91,28,severe,flowering,Hai Duong,Cây sinh trưởng chậm hơn bình thường.
dataset/raw/BrownSpot/IMG_20190419_103257.jpg,BrownSpot,Đốm nâu,Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Các đốm nâu nhỏ phân bố trên phiến lá và liên kết thành vùng bệnh.,vết cháy màu nâu | mép lá chuyển nâu | lá khô từng vùng | đốm nâu nhỏ trên lá,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Trên phiến lá xuất hiện nhiều đốm nâu nhỏ hoặc các vết bệnh rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.9496,0.0504,0.8665,0.93,high,humid,74,24,severe,ripening,Dong Thap,Triệu chứng lan nhanh trên ruộng.
dataset/raw/BrownSpot/IMG_20190419_103508.jpg,BrownSpot,Đốm nâu,"Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn. | Ảnh cho thấy cận cảnh phần lá, nhấn mạnh tổn thương và cấu trúc mô lá.",lá khô từng vùng | đốm nâu nhỏ trên lá | vết cháy màu nâu | phiến lá xuất hiện đốm tròn,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác.,0.1396,0.8604,0.0024,0.74,low,humid,84,31,mild,flowering,Soc Trang,Bệnh xuất hiện sau nhiều ngày ẩm ướt.
